| County       | Approx. % of taxable value | Homestead approx. % of taxable value |
| ------------ | -------------------------: | -----------------------------------: |
| Alachua      |                      2.09% |                              1.7138% |
| Baker        |                      1.46% |                              1.1972% |
| Bay          |                      1.27% |                              1.0414% |
| Bradford     |                      1.66% |                              1.3612% |
| Brevard      |                      1.38% |                              1.1316% |
| Broward      |                      1.99% |                              1.6318% |
| Calhoun      |                      1.53% |                              1.2546% |
| Charlotte    |                      1.57% |                              1.2874% |
| Citrus       |                      1.55% |                              1.2710% |
| Clay         |                      1.53% |                              1.2546% |
| Collier      |                      0.98% |                              0.8036% |
| Columbia     |                      1.47% |                              1.2054% |
| Miami-Dade   |                      1.85% |                              1.5170% |
| DeSoto       |                      1.59% |                              1.3038% |
| Dixie        |                      1.99% |                              1.6318% |
| Duval        |                      1.79% |                              1.4678% |
| Escambia     |                      1.41% |                              1.1562% |
| Flagler      |                      1.72% |                              1.4104% |
| Franklin     |                      1.06% |                              0.8692% |
| Gadsden      |                      1.61% |                              1.3202% |
| Gilchrist    |                      1.55% |                              1.2710% |
| Glades       |                      1.84% |                              1.5088% |
| Gulf         |                      1.22% |                              1.0004% |
| Hamilton     |                      1.52% |                              1.2464% |
| Hardee       |                      1.41% |                              1.1562% |
| Hendry       |                      1.72% |                              1.4104% |
| Hernando     |                      1.46% |                              1.1972% |
| Highlands    |                      1.45% |                              1.1890% |
| Hillsborough |                      1.89% |                              1.5498% |
| Holmes       |                      1.54% |                              1.2628% |
| Indian River |                      1.42% |                              1.1644% |
| Jackson      |                      1.43% |                              1.1726% |
| Jefferson    |                      1.39% |                              1.1398% |
| Lafayette    |                      1.62% |                              1.3284% |
| Lake         |                      1.56% |                              1.2792% |
| Lee          |                      1.40% |                              1.1480% |
| Leon         |                      1.78% |                              1.4596% |
| Levy         |                      1.60% |                              1.3120% |
| Liberty      |                      1.52% |                              1.2464% |
| Madison      |                      1.52% |                              1.2464% |
| Manatee      |                      1.46% |                              1.1972% |
| Marion       |                      1.59% |                              1.3038% |
| Martin       |                      1.61% |                              1.3202% |
| Monroe       |                      0.82% |                              0.6724% |
| Nassau       |                      1.61% |                              1.3202% |
| Okaloosa     |                      1.23% |                              1.0086% |
| Okeechobee   |                      1.44% |                              1.1808% |
| Orange       |                      1.74% |                              1.4268% |
| Osceola      |                      1.50% |                              1.2300% |
| Palm Beach   |                      1.75% |                              1.4350% |
| Pasco        |                      1.72% |                              1.4104% |
| Pinellas     |                      1.85% |                              1.5170% |
| Polk         |                      1.54% |                              1.2628% |
| Putnam       |                      1.77% |                              1.4514% |
| St. Johns    |                      1.40% |                              1.1480% |
| St. Lucie    |                      2.16% |                              1.7712% |
| Santa Rosa   |                      1.17% |                              0.9594% |
| Sarasota     |                      1.28% |                              1.0496% |
| Seminole     |                      1.53% |                              1.2546% |
| Sumter       |                      1.12% |                              0.9184% |
| Suwannee     |                      1.57% |                              1.2874% |
| Taylor       |                      1.54% |                              1.2628% |
| Union        |                      1.67% |                              1.3694% |
| Volusia      |                      1.74% |                              1.4268% |
| Wakulla      |                      1.34% |                              1.0988% |
| Walton       |                      0.92% |                              0.7544% |
| Washington   |                      1.50% |                              1.2300% |
